freq,statinfo,unit,isced11,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,MED_EI,PPS,ED3_4,T,Y_GE65,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18036 	18376 	18894 	18732 	18729 	19170 	19571 	19528 	19605 	20471 	21820 	23250 
A,MED_EI,PPS,ED3_4,T,Y_GE65,EA21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22925 
A,MED_EI,PPS,ED3_4,T,Y_GE65,EE	: 	3370 	3756 	4251 	4634 	5101 	5773 	5924 	6083 	6070 	6290 	6536 b	7188 	7884 	8063 	8274 	9102 	9138 	9483 	9678 	9340 	10608 	11429 
A,MED_EI,PPS,ED3_4,T,Y_GE65,EL	13952 	14462 	13347 	13855 	14996 	14872 	14681 	14498 	12437 	12195 	10554 	10572 	11315 	11645 	11591 	10833 	11582 	12327 	12011 	12572 	13112 	13727 	14457 
A,MED_EI,PPS,ED3_4,T,Y_GE65,ES	: 	14156 	13129 	12844 	14679 	17666 b	19042 	18240 	18867 	18948 	18528 	18964 	18847 	19728 	19744 	20014 	20661 	20245 	20672 	20888 	23134 	25735 	27261 
A,MED_EI,PPS,ED3_4,T,Y_GE65,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16474 	16830 e	: 	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED3_4,T,Y_GE65,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16542 	16904 e	: 	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED3_4,T,Y_GE65,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16410 e	16822 	17063 	17200 	17581 	18389 	19798 	21060 
A,MED_EI,PPS,ED3_4,T,Y_GE65,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16474 	16830 e	: 	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED3_4,T,Y_GE65,FI	: 	10528 	11233 	11617 	12281 	12822 	13568 	14678 	15061 	15778 	15788 	16031 	16190 	17021 	17138 	17044 	17043 	16801 	16754 	17347 	17945 	19599 	20657 
A,MED_EI,PPS,ED3_4,T,Y_GE65,FR	: 	16423 	16685 	16735 	17376 	20738 	20755 	21341 	21331 b	21835 	22883 	21933 	22070 	23326 	22724 	22074 	21853 	20508 b	20124 	20441 b	21478 	22909 	23917 
A,MED_EI,PPS,ED3_4,T,Y_GE65,HR	: 	: 	: 	: 	: 	: 	: 	6900 	7592 	7669 	7903 	8032 	8682 	8976 	8733 	9175 	9031 	9320 	9292 	9797 	10391 b	12304 b	14194 
A,MED_EI,PPS,ED3_4,T,Y_GE65,HU	: 	: 	6413 	6479 	6794 	7128 	7280 	7224 	7501 	7880 	8041 	8249 	8558 	8678 	8615 	8677 	9289 b	8752 	8998 	9765 	9985 	10248 	10023 
A,MED_EI,PPS,ED3_4,T,Y_GE65,IE	11478 	12430 	13858 	14282 	16677 	18569 	17937 	19723 	16194 	17605 	18100 	18420 	19621 	19128 	18387 	20089 	21010 b	18835 b	19740 	18438 	20889 	20959 	23713 
A,MED_EI,PPS,ED3_4,T,Y_GE65,IS	: 	13791 	14184 	15441 	16484 	19007 	20553 	17929 	17022 	16893 	17724 	18991 	19813 	21393 	21170 	22970 	22936 	22202 	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED3_4,T,Y_GE65,IT	: 	16499 	17091 	17992 	18076 	19309 	19952 	19636 	20888 	20366 	20386 	20260 	20595 	21723 	21514 	21434 	21957 	23325 	23298 	23432 	24104 	25563 	28173 
A,MED_EI,PPS,ED3_4,T,Y_GE65,LT	: 	: 	3681 	3929 	4546 	5944 	6272 	6175 	6024 	5996 	6480 	6407 	6412 	7032 	7282 	7388 	8182 	8725 	9240 	9292 	9562 	9964 p	10890 p
A,MED_EI,PPS,ED3_4,T,Y_GE65,LU	24785 	27038 	28278 	25809 	28330 	27755 	28630 	28170 	30477 	30811 	32255 	33656 	32182 	33364 b	33711 	33177 	36195 	35913 b	38303 b	36770 b	38953 	42388 	41181 b
A,MED_EI,PPS,ED3_4,T,Y_GE65,LV	: 	: 	3210 	3340 	4140 	4597 	4843 	5103 	5489 	5270 	5380 	5691 	5843 	6412 	6230 	6326 	6780 	7490 	7559 	8631 	8575 	9405 	10772 
A,MED_EI,PPS,ED3_4,T,Y_GE65,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7215 	6707 	6982 	7223 	7612 	8809 	8382 	8314 	7201 	8626 	9963 	: 	: 
A,MED_EI,PPS,ED3_4,T,Y_GE65,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	5035 	5508 	5824 	6396 	6902 	6794 	6863 	6978 	7499 	7595 b	7964 	8452 	9320 	: 
A,MED_EI,PPS,ED3_4,T,Y_GE65,MT	: 	: 	12833 	11304 	11304 	11068 	12583 	12546 	13222 	14800 	17988 	17283 	18272 	18106 	17773 	17372 	17154 	18228 	18000 	17980 	17797 	20044 	20064 
A,MED_EI,PPS,ED3_4,T,Y_GE65,NL	: 	: 	16267 	16054 	16704 	18419 	17657 	17690 	17750 	18195 	18790 	17829 	18383 	18478 b	18034 	18623 	18697 	18873 	19465 	20040 	20769 	22665 	24244 
A,MED_EI,PPS,ED3_4,T,Y_GE65,NO	14957 	15585 	15838 	16476 	17798 	20092 	21600 	21026 	21878 	23216 	25176 	25766 	26636 	25959 	24088 	24299 	24422 	24832 	23896 b	24392 	26331 b	29544 	30471 
A,MED_EI,PPS,ED3_4,T,Y_GE65,PL	: 	: 	5935 	6204 	6580 	7226 	7664 	7928 	8743 	9112 	9904 	10224 	10493 	11184 	11001 	10938 	11346 	11768 	12271 	13402 	14336 	16104 	17557 
A,MED_EI,PPS,ED3_4,T,Y_GE65,PT	: 	13452 	16909 	18308 	18910 	18200 	21187 	19700 	18368 	18236 	18982 	19711 	18754 	20944 	20403 	19223 	20990 	19817 	17568 	18666 	18971 	20051 	22805 
A,MED_EI,PPS,ED3_4,T,Y_GE65,RO	: 	: 	: 	: 	3271 	3744 	4537 	4821 	5079 	5284 	5395 	5493 	5612 	6234 	6430 	7127 	7751 	7978 	8811 	11458 	11526 	12620 	13034 
A,MED_EI,PPS,ED3_4,T,Y_GE65,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5867 	5767 	5948 	6128 	6315 	6039 	6415 	6571 	6757 	6986 	7319 	8362 	10187 
A,MED_EI,PPS,ED3_4,T,Y_GE65,SE	: 	12452 	12882 	14634 	15028 	14777 b	15511 	15148 	15188 	15711 	17350 	17737 	17503 	17675 	17917 	18147 	18577 	17521 	18647 	18078 	19662 	21677 	22368 
A,MED_EI,PPS,ED3_4,T,Y_GE65,SI	: 	: 	11835 	11868 	12126 	12491 	13163 	12265 	12758 	12968 	12883 	13254 	13857 	13783 	13671 	13564 	14029 	14310 	14757 	15178 	16461 	16971 	17567 
A,MED_EI,PPS,ED3_4,T,Y_GE65,SK	: 	: 	3697 	4193 	4809 	5686 	6675 	7312 	7977 	8298 	8770 	9194 	9685 	9883 	8808 	9122 	9230 	8891 	8893 	9422 	10666 	11848 	14710 
A,MED_EI,PPS,ED3_4,T,Y_GE65,TR	: 	: 	: 	8436 	8492 	8143 	8512 	8220 	9820 	9777 	9925 	9875 	10159 	11570 	12297 	12103 	12401 	12686 	11610 	11030 	10092 	12294 	14013 
A,MED_EI,PPS,ED3_4,T,Y_GE65,UK	: 	: 	14576 	15499 	15981 	15898 	14808 	13804 	13903 	15884 b	15792 	16570 	17445 	17278 	16418 b	17555 	: 	: 	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED3_4,T,Y_GE65,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4895 	: 	: 	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y18-64,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6496 	6731 	7181 	7141 	6917 	7937 	9276 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y18-64,AT	20083 	21297 	21792 	21917 	22758 	24451 b	25226 	24489 	26729 	25576 	26044 	26295 	26638 	28378 	29045 	27943 	27752 	27527 	28346 	29165 	33499 	34652 	36491 
A,MED_EI,PPS,ED5-8,F,Y18-64,BE	20102 	19473 	20095 	20971 	21092 	22027 	22494 	22817 	23288 	23513 	25386 	25522 	25736 	27997 	26734 	27098 	27567 b	27845 	28206 	29644 	30340 	32357 	32774 
A,MED_EI,PPS,ED5-8,F,Y18-64,BG	: 	: 	: 	4642 	4770 	7090 	8696 	8809 	8985 	8206 	9107 	10129 	10798 	10691 b	12194 	11408 	13434 	13699 	14260 	16049 	17687 	20123 	22328 
A,MED_EI,PPS,ED5-8,F,Y18-64,CH	: 	: 	: 	: 	26899 	28361 	29907 	29559 	30178 	30668 	32696 	33073 b	33429 	35971 	34626 	32811 	31879 	32689 	33457 	34004 	35305 	37115 	: 
A,MED_EI,PPS,ED5-8,F,Y18-64,CY	: 	: 	21361 	22267 	24159 	25540 b	25967 	25209 	25826 	25526 	22917 	21450 	20390 	21350 	21524 	21682 	23600 	22826 	23360 	24863 	25541 	27668 	28622 
A,MED_EI,PPS,ED5-8,F,Y18-64,CZ	: 	: 	10767 	11640 	12542 	13552 	13988 	13616 	13999 	14030 	14367 	14571 	15385 	16634 	16704 	17196 	18512 	18928 	17831 	20082 	20941 	21270 	21097 
A,MED_EI,PPS,ED5-8,F,Y18-64,DE	: 	: 	18780 	19880 	21015 	22143 	23040 	22365 	23393 	23813 	23851 	24318 	25348 	25874 	25605 	26695 	27291 	31507 b	31123 	31119 	31866 	33067 	34942 
A,MED_EI,PPS,ED5-8,F,Y18-64,DK	18746 	18296 	19307 	19443 	20839 	21280 	21947 	21795 	23542 b	23393 	23894 	23954 	24278 	25333 	24787 	25408 	26498 	25452 	26634 	26572 	26381 	28116 	29590 
A,MED_EI,PPS,ED5-8,F,Y18-64,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23550 	23813 	24779 b	24857 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y18-64,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23647 	23892 	24859 b	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y18-64,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23550 	23813 	24779 b	24857 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y18-64,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21814 	22295 	23346 	23207 	23453 	23739 	24699 	24837 	25510 	27051 	28588 	30429 
A,MED_EI,PPS,ED5-8,F,Y18-64,EA21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30300 
A,MED_EI,PPS,ED5-8,F,Y18-64,EE	: 	5828 	6511 	7498 	8645 	10352 	11228 	10466 	10347 	11209 	11805 	13081 b	14446 	16372 	16779 	18136 	18710 	18817 	19229 	22150 	20201 	21457 	22340 
A,MED_EI,PPS,ED5-8,F,Y18-64,EL	16979 	17134 	17158 	18017 	18200 	18642 	19220 	19308 	16759 	13334 	12338 	12492 	12106 	12399 	12215 	12504 	13234 	13588 	13258 	14034 	14861 	16149 	17644 
A,MED_EI,PPS,ED5-8,F,Y18-64,ES	: 	16802 	17334 	18112 	18329 	21886 b	23148 	21949 	21267 	21001 	20073 	20079 	20499 	21521 	21980 	22181 	22053 	21758 	21418 	22354 	24293 	26538 	28349 
A,MED_EI,PPS,ED5-8,F,Y18-64,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22198 	22658 e	: 	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y18-64,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22245 	22702 e	: 	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y18-64,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22069 e	22516 	23313 	23584 	24376 	25855 	27359 	29180 
A,MED_EI,PPS,ED5-8,F,Y18-64,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22198 	22658 e	: 	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y18-64,FI	: 	16645 	17815 	18388 	19315 	21137 	21719 	21606 	22729 	23181 	24025 	23974 	24458 	24942 	24497 	24899 	25673 	25524 	24757 	25719 	26790 	28387 	29800 
A,MED_EI,PPS,ED5-8,F,Y18-64,FR	: 	18441 	18982 	19535 	19262 	22190 	22279 	22313 	22830 b	23454 	23790 	23334 	24180 	25064 	24512 	24242 	24065 	24812 b	25092 	25909 b	27609 	28674 	29753 
A,MED_EI,PPS,ED5-8,F,Y18-64,HR	: 	: 	: 	: 	: 	: 	: 	11957 	11665 	11891 	11607 	11580 	12835 	13665 	13836 	14458 	15709 	15682 	16653 	17342 	18778 b	21738 b	26813 
A,MED_EI,PPS,ED5-8,F,Y18-64,HU	: 	: 	8135 	9238 	9261 	9026 	9527 	9351 	10372 	10408 	10201 	10623 	11350 	11842 	11797 	11174 	11633 b	11841 	12318 	13036 	12508 	13568 	15187 
A,MED_EI,PPS,ED5-8,F,Y18-64,IE	19103 	21176 	22178 	23335 	26601 	26219 	24610 	23204 	23442 	22211 	22273 	21686 	23204 	24019 	23856 	23140 	24177 b	24192 b	25165 	24804 	25691 	27842 	30445 
A,MED_EI,PPS,ED5-8,F,Y18-64,IS	: 	19453 	20841 	22545 	23548 	25715 	25245 	20806 	20456 	20791 	21629 	22324 	23014 	24885 	23611 	25808 	25182 	24145 	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y18-64,IT	: 	19664 	20670 	21108 	21718 	22107 	22126 	22009 	21770 	21723 	21204 	20820 	20959 	22059 	22180 	22436 	22559 	23307 	23274 	23762 	26186 	27205 	29259 
A,MED_EI,PPS,ED5-8,F,Y18-64,LT	: 	: 	6611 	7303 	8648 	10074 	11039 	8931 	8930 	10195 	10526 	11617 	12851 	14362 	14451 	15304 	16766 	17686 	18617 	19792 	19600 	21322 p	23681 p
A,MED_EI,PPS,ED5-8,F,Y18-64,LU	38356 	37448 	39061 	37657 	38769 	38522 	37981 	38904 	38294 	38157 	40577 	39132 	39403 	35101 b	36277 	34635 	35095 	36216 b	38654 b	39689 b	43864 	45395 	46891 b
A,MED_EI,PPS,ED5-8,F,Y18-64,LV	: 	: 	6139 	7362 	8505 	11268 	11321 	9533 	9110 	9196 	9765 	11136 	11858 	13591 	13593 	14591 	15940 	15663 	16255 	17583 	17635 	19565 	22650 
A,MED_EI,PPS,ED5-8,F,Y18-64,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9563 	9020 	9271 	9731 	10405 	10064 	10011 	10176 	9828 	10945 	12773 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y18-64,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	7370 	7388 	6626 	7156 	7631 	7948 	7925 	8443 	8652 	9006 b	9803 	11147 	13391 	: 
A,MED_EI,PPS,ED5-8,F,Y18-64,MT	: 	: 	20060 	20017 	19967 	21678 	21832 	22089 	23203 	23210 	23711 	23680 	25211 	26037 	26983 	26458 	27945 	28733 	29075 	31953 	30425 	32619 	32894 
A,MED_EI,PPS,ED5-8,F,Y18-64,NL	: 	: 	20253 	21353 	22156 	24066 	24574 	23667 	24081 	23342 	23673 	23482 	24150 	26618 b	26809 	26725 	26992 	26860 	28479 	29766 	30280 	32809 	36114 
A,MED_EI,PPS,ED5-8,F,Y18-64,NO	21154 	21829 	22367 	23672 	24280 	27444 	28199 	27148 	27822 	28632 	30439 	30876 	31761 	31517 	29996 	29986 	30434 	31400 	29692 b	30178 	32523 b	35176 	37502 
A,MED_EI,PPS,ED5-8,F,Y18-64,PL	: 	: 	7919 	8529 	9165 	10413 	11496 	11659 	12305 	12788 	13163 	13915 	13903 	15078 	15255 	15250 	16554 	17418 	17954 	19182 	20816 	22206 	24580 
A,MED_EI,PPS,ED5-8,F,Y18-64,PT	: 	18445 	20400 	19704 	20294 	19455 	18715 	18009 	18328 	16819 	17213 	17080 	16573 	17593 	16622 	16275 	17031 	17147 	17601 	16939 	18831 	19627 	22853 
A,MED_EI,PPS,ED5-8,F,Y18-64,RO	: 	: 	: 	: 	6350 	7088 	6982 	7210 	6558 	7161 	7418 	7484 	7817 	8383 	9377 	12460 	14047 	14268 	16252 	17096 	18113 	20130 	20736 
A,MED_EI,PPS,ED5-8,F,Y18-64,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8182 	7529 	7552 	7731 	7706 	7473 	8963 	9093 	9684 	10365 	10799 	12275 	16261 
A,MED_EI,PPS,ED5-8,F,Y18-64,SE	: 	16837 	16761 	17569 	18726 	21290 b	21568 	20648 	20653 	22144 	23695 	23504 	24372 	24539 	23838 	24462 	24946 	24259 	25326 	25213 	27030 	28874 	29728 
A,MED_EI,PPS,ED5-8,F,Y18-64,SI	: 	: 	17893 	18217 	18484 	19420 	19568 	18447 	18823 	19094 	18460 	18445 	18850 	18988 	18958 	19472 	20592 	20571 	20966 	22707 	24016 	26287 	28372 
A,MED_EI,PPS,ED5-8,F,Y18-64,SK	: 	: 	5134 	5935 	7153 	8632 	10171 	10932 	11575 	12548 	12083 	12076 	12238 	12443 	11251 	11830 	12663 	11944 	11072 	11345 	12084 	13025 	18497 
A,MED_EI,PPS,ED5-8,F,Y18-64,TR	: 	: 	: 	10995 	11659 	11605 	12671 	12332 	13495 	14018 	13424 	13790 	13463 	14798 	13947 	12878 	13073 	12325 	11502 	12378 	12735 	17614 	20625 
A,MED_EI,PPS,ED5-8,F,Y18-64,UK	: 	: 	22573 	25853 	26190 	25631 	23621 	21914 	21785 	22584 b	23206 	23224 	23940 	23273 	22780 b	23409 	: 	: 	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y18-64,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6596 	: 	: 	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y_GE18,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6331 	6612 	7160 	7087 	6889 	7837 	9118 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y_GE18,AT	20607 	21485 	21863 	21992 	23027 	24429 b	24670 	24726 	26746 	25698 	26259 	26278 	26768 	28341 	29211 	27942 	27970 	27803 	28704 	29450 	33499 	34667 	36597 
A,MED_EI,PPS,ED5-8,F,Y_GE18,BE	19823 	18954 	19816 	20632 	20602 	21688 	22292 	22508 	22774 	23198 	24949 	25120 	25373 	27237 	26196 	26757 	26979 b	27118 	27442 	29001 	29494 	31332 	32009 
A,MED_EI,PPS,ED5-8,F,Y_GE18,BG	: 	: 	: 	4441 	4539 	6583 	8014 	8421 	8626 	7901 	8641 	9612 	9919 	9924 b	11305 	10555 	11980 	12371 	13004 	14275 	15970 	18536 	20121 
A,MED_EI,PPS,ED5-8,F,Y_GE18,CH	: 	: 	: 	: 	26568 	27772 	29109 	29005 	29813 	30220 	32149 	32743 b	32852 	35335 	33615 	32463 	31378 	32147 	32403 	32906 	34108 	35496 	: 
A,MED_EI,PPS,ED5-8,F,Y_GE18,CY	: 	: 	21362 	22267 	24154 	25540 b	25800 	25430 	25974 	25715 	23000 	21524 	20511 	21515 	22019 	21972 	23740 	23134 	23563 	25057 	25782 	27804 	28859 
A,MED_EI,PPS,ED5-8,F,Y_GE18,CZ	: 	: 	10557 	11367 	12260 	13222 	13370 	13121 	13544 	13368 	14003 	14154 	14677 	16002 	16049 	16492 	17683 	18285 	17167 	19300 	20385 	20673 	20582 
A,MED_EI,PPS,ED5-8,F,Y_GE18,DE	: 	: 	18263 	18996 	20202 	21080 	21970 	21332 	22347 	23176 	22958 	23359 	24536 	24780 	24719 	25803 	26267 	30709 b	30300 	30232 	30822 	32130 	33823 
A,MED_EI,PPS,ED5-8,F,Y_GE18,DK	18623 	17913 	19158 	19162 	20517 	21135 	21823 	21553 	23166 b	22854 	23495 	23310 	23919 	24675 	24341 	24583 	25662 	24679 	25596 	25619 	25394 	26965 	28458 
A,MED_EI,PPS,ED5-8,F,Y_GE18,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23610 	23904 	24881 b	24950 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y_GE18,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23724 	24003 	24981 b	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y_GE18,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23610 	23904 	24881 b	24950 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y_GE18,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21905 	22479 	23434 	23332 	23512 	23817 	24791 	24924 	25472 	26995 	28622 	30391 
A,MED_EI,PPS,ED5-8,F,Y_GE18,EA21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30205 
A,MED_EI,PPS,ED5-8,F,Y_GE18,EE	: 	5429 	6097 	6928 	7872 	9434 	10317 	9693 	9678 	10272 	10296 	11455 b	13075 	14810 	15340 	16090 	17102 	16943 	17376 	19120 	17885 	18879 	20171 
A,MED_EI,PPS,ED5-8,F,Y_GE18,EL	17043 	17192 	17367 	18039 	18367 	18823 	19294 	19404 	16845 	13741 	12670 	12768 	12395 	12704 	12482 	12735 	13560 	13945 	13572 	14266 	15208 	16483 	17945 
A,MED_EI,PPS,ED5-8,F,Y_GE18,ES	: 	16806 	17309 	18132 	18289 	21991 b	23243 	22154 	21450 	21199 	20228 	20470 	20855 	22048 	22498 	22739 	22428 	22180 	22001 	22729 	24852 	27235 	29043 
A,MED_EI,PPS,ED5-8,F,Y_GE18,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22097 	22532 e	: 	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y_GE18,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22148 	22581 e	: 	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y_GE18,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22016 e	22455 	23252 	23510 	24202 	25670 	27257 	28973 
A,MED_EI,PPS,ED5-8,F,Y_GE18,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22097 	22532 e	: 	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y_GE18,FI	: 	16471 	17612 	18244 	19143 	20804 	21526 	21432 	22353 	22863 	23531 	23560 	24111 	24649 	24118 	24377 	25135 	24930 	24197 	25090 	25938 	27693 	28936 
A,MED_EI,PPS,ED5-8,F,Y_GE18,FR	: 	18538 	19169 	19790 	19414 	22484 	22721 	22668 	23324 b	23924 	24298 	23892 	25025 	25742 	25287 	24697 	24908 	25126 b	25264 	26042 b	27881 	29046 	30103 
A,MED_EI,PPS,ED5-8,F,Y_GE18,HR	: 	: 	: 	: 	: 	: 	: 	11539 	11406 	11561 	11495 	11500 	12667 	13286 	13588 	14029 	15038 	15174 	15674 	16545 	17800 b	20715 b	25085 
A,MED_EI,PPS,ED5-8,F,Y_GE18,HU	: 	: 	8012 	9005 	9162 	9035 	9491 	9319 	10229 	10240 	10178 	10639 	11284 	11775 	11727 	11049 	11356 b	11656 	12235 	12771 	12522 	13328 	15065 
A,MED_EI,PPS,ED5-8,F,Y_GE18,IE	18933 	20904 	21993 	23015 	26080 	26046 	24610 	23059 	23281 	22152 	22439 	21807 	23222 	24118 	23913 	23173 	24254 b	24192 b	25109 	24691 	26007 	27888 	30369 
A,MED_EI,PPS,ED5-8,F,Y_GE18,IS	: 	19508 	20875 	22605 	23604 	25740 	25450 	21142 	20501 	20956 	21796 	22387 	23090 	24964 	23611 	25875 	25918 	24488 	: 	: 	: 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y_GE18,IT	: 	19802 	20865 	21256 	21809 	22260 	22382 	22220 	22084 	22073 	21382 	21018 	21282 	22695 	22748 	23054 	23230 	24089 	24360 	24476 	26722 	28277 	30125 
A,MED_EI,PPS,ED5-8,F,Y_GE18,LT	: 	: 	6365 	7083 	8511 	9589 	10685 	8541 	8567 	9765 	10214 	11135 	12157 	13476 	13394 	14336 	15495 	16439 	17363 	17833 	18038 	19558 p	21703 p
A,MED_EI,PPS,ED5-8,F,Y_GE18,LU	38356 	37734 	39338 	37634 	38878 	37741 	38807 	38904 	38368 	38310 	40808 	39995 	39909 	35796 b	36679 	34678 	35476 	36880 b	39261 b	39883 b	43790 	46328 	47385 b
A,MED_EI,PPS,ED5-8,F,Y_GE18,LV	: 	: 	5778 	6782 	7897 	10445 	10531 	8848 	8736 	8752 	9318 	10509 	11125 	12564 	12873 	13554 	14856 	14603 	15330 	16103 	16740 	18337 	21088 
A,MED_EI,PPS,ED5-8,F,Y_GE18,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9553 	9038 	9240 	9795 	10351 	10091 	10129 	10176 	9758 	10953 	12668 	: 	: 
A,MED_EI,PPS,ED5-8,F,Y_GE18,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	7374 	7388 	6758 	7349 	7860 	8137 	8140 	8537 	8856 	9125 b	9843 	11067 	13214 	: 
A,MED_EI,PPS,ED5-8,F,Y_GE18,MT	: 	: 	19936 	19960 	19574 	21481 	21713 	21323 	22686 	22735 	23225 	23187 	24856 	25743 	26786 	26173 	27777 	28406 	28303 	31240 	29696 	31490 	32396 
A,MED_EI,PPS,ED5-8,F,Y_GE18,NL	: 	: 	20427 	21445 	22152 	24194 	24655 	23738 	24217 	23521 	23949 	23701 	24307 	26239 b	26256 	26276 	26560 	26588 	27893 	28953 	29302 	31844 	34989 
A,MED_EI,PPS,ED5-8,F,Y_GE18,NO	21019 	21683 	22326 	23621 	24299 	27395 	28188 	27085 	27822 	28594 	30536 	31053 	32092 	31564 	30030 	30001 	30463 	31383 	29431 b	30056 	32280 b	35091 	37175 
A,MED_EI,PPS,ED5-8,F,Y_GE18,PL	: 	: 	7884 	8450 	9132 	10413 	11359 	11380 	12191 	12650 	12994 	13675 	13683 	14921 	15076 	14987 	16192 	16922 	17475 	18748 	20252 	21920 	23927 
A,MED_EI,PPS,ED5-8,F,Y_GE18,PT	: 	18718 	21036 	20448 	21139 	20055 	19112 	18489 	19099 	17588 	17965 	17770 	17125 	18239 	17329 	16874 	17723 	18050 	18289 	17663 	19764 	20780 	23882 
A,MED_EI,PPS,ED5-8,F,Y_GE18,RO	: 	: 	: 	: 	6243 	6851 	6939 	7188 	6660 	7192 	7483 	7590 	7850 	8497 	9377 	12263 	13807 	14171 	15891 	17049 	18029 	19953 	20238 
